10;1728011123;02;2;  ;17280111;2; ;3;163049,84;
11;1728011123;100; ; ; ; ;97829,91;
11;1728011123;101; ; ; ; ;40762,46;
11;1728011123;102; ; ; ; ;24457,47;
10;951728011123;02;1;95;17280111;2; ;3;39553,57;
11;951728011123;101; ; ; ; ;39553,57;
10;172801211193;02;2;  ;17280121;1;2019;3;14384,83;
11;172801211193;100; ; ; ; ;8630,90;
11;172801211193;101; ; ; ; ;3596,21;
11;172801211193;102; ; ; ; ;2157,72;
10;1728012123;02;2;  ;17280121;2; ;3;176273,26;
11;1728012123;100; ; ; ; ;105763,95;
11;1728012123;101; ; ; ; ;44068,32;
11;1728012123;102; ; ; ; ;26440,99;
10;951728012123;02;1;95;17280121;2; ;3;38131,49;
11;951728012123;101; ; ; ; ;38131,49;
10;1728013123;02;2;  ;17280131;2; ;3;1854,92;
11;1728013123;100; ; ; ; ;1112,95;
11;1728013123;101; ; ; ; ;463,73;
11;1728013123;102; ; ; ; ;278,24;
10;951728013123;02;1;95;17280131;2; ;3;370,98;
11;951728013123;101; ; ; ; ;370,98;
10;1728014123;02;2;  ;17280141;2; ;3;2599,14;
11;1728014123;116; ; ; ; ;2599,14;
10;1728031123;02;2;  ;17280311;2; ;3;3200,00;
11;1728031123;155; ; ; ; ;3200,00;
10;1758011123;02;2;  ;17580111;2; ;3;259153,27;
11;1758011123;118; ; ; ; ;218984,51;
11;1758011123;119; ; ; ; ;40168,76;
10;1928029123;02;2;  ;19280291;2; ;3;2836,64;
11;1928029123;100; ; ; ; ;2836,64;
10;1990991123;02;2;  ;19909911;2; ;3;15,56;
11;1990991123;100; ; ; ; ;15,56;
